;;;Context Match;;;;Repetitions;;;;100%;;;;95% - 99%;;;;85% - 94%;;;;75% - 84%;;;;50% - 74%;;;;No Match;;;;Total
File;Tagging Errors;Chars/Word;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Characters
"w33_překlady_Jungle_Way.xlsx | cs_cz>bg_bg";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>da_dk";0;5.68;0;0;0;0;0;0;0;0;1;5.5;0;1.97;2;2;0;0.72;0;0;0;0;1;18;0;6.46;2;6;0;2.15;8;247;0;88.69;14;278.5;0;1585.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>de_at";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>de_de";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>el_gr";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>en_gb";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>es_es";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>et_ee";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>fi_fi";0;5.68;0;0;0;0;0;0;0;0;1;5.5;0;1.97;2;3;0;1.08;0;0;0;0;1;18;0;6.46;1;4;0;1.44;9;248;0;89.05;14;278.5;0;1585.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>fr_be";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
