;;;Context Match;;;;Repetitions;;;;100%;;;;95% - 99%;;;;85% - 94%;;;;75% - 84%;;;;50% - 74%;;;;No Match;;;;Total
File;Tagging Errors;Chars/Word;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Characters
"w33_překlady_Jungle_Way.xlsx | cs_cz>fr_fr";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>hr_hr";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>hu_hu";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>it_it";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>lt_lt";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;2;2;0;0.72;0;0;0;0;1;18;0;6.49;1;4;0;1.44;8;247;0;89.01;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>lv_lv";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
"w33_překlady_Jungle_Way.xlsx | cs_cz>pl_pl";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>pt_pt";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>ro_ro";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>sk_sk";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>sl_si";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>sv_se";0;5.68;0;0;0;0;0;0;0;0;2;7;0;2.53;1;1;0;0.36;0;0;0;0;1;18;0;6.5;1;4;0;1.44;8;247;0;89.17;13;277;0;1576
"w33_překlady_Jungle_Way.xlsx | cs_cz>uk_ua";0;5.68;0;0;0;0;0;0;0;0;1.5;6.5;0;2.34;1;1;0;0.36;0;0;0;0;1;18;0;6.49;1;4;0;1.44;9;248;0;89.37;13.5;277.5;0;1579.5
